Threshold,FAR,FRR
0.229,0.099205,0.655724
0.23,0.100042,0.655724
0.231,0.100042,0.655292
0.232,0.100879,0.654428
0.233,0.101298,0.653996
0.234,0.101716,0.651836
0.235,0.102135,0.650108
0.236,0.103391,0.649676
0.237,0.103391,0.64838
0.238,0.104228,0.647084
0.239,0.105065,0.646652
0.24,0.105483,0.645356
0.241,0.106739,0.642765
0.242,0.106739,0.642333
0.243,0.107158,0.641037
0.244,0.107576,0.638013
0.245,0.108832,0.637149
0.246,0.108832,0.634989
0.247,0.109669,0.634125
0.248,0.110506,0.634125
0.249,0.111344,0.632397
0.25,0.111762,0.631533
0.251,0.112181,0.631102
0.252,0.112181,0.62851
0.253,0.112181,0.627214
0.254,0.113018,0.626782
0.255,0.113018,0.626782
0.256,0.113437,0.62635
0.257,0.115111,0.625486
0.258,0.115111,0.623758
0.259,0.11553,0.62203
0.26,0.116367,0.62203
0.261,0.116785,0.619438
0.262,0.118041,0.618575
0.263,0.11846,0.618575
0.264,0.11846,0.617279
0.265,0.119715,0.616415
0.266,0.120971,0.614687
0.267,0.12139,0.612959
0.268,0.121808,0.612527
0.269,0.122227,0.610367
0.27,0.122227,0.607775
0.271,0.122645,0.606048
0.272,0.12432,0.604752
0.273,0.12432,0.603456
0.274,0.124738,0.601296
0.275,0.125157,0.599136
0.276,0.125157,0.596976
0.277,0.125576,0.596544
0.278,0.126413,0.59568
0.279,0.126831,0.594816
0.28,0.127668,0.593952
0.281,0.127668,0.592225
0.282,0.128087,0.591793
0.283,0.128924,0.591361
0.284,0.128924,0.590065
0.285,0.129343,0.589201
0.286,0.129343,0.587473
0.287,0.129761,0.586177
0.288,0.131854,0.584449
0.289,0.132273,0.582721
0.29,0.132692,0.581857
0.291,0.133947,0.581857
0.292,0.134366,0.580994
0.293,0.134366,0.580562
0.294,0.134784,0.579266
0.295,0.135622,0.57797
0.296,0.136877,0.576242
0.297,0.137715,0.576242
0.298,0.137715,0.574946
0.299,0.137715,0.573218
0.3,0.137715,0.572786
0.301,0.138552,0.571922
0.302,0.139807,0.571058
0.303,0.140226,0.570626
0.304,0.140226,0.568898
0.305,0.141063,0.566739
0.306,0.141063,0.565443
0.307,0.1419,0.564579
0.308,0.1419,0.564147
0.309,0.1419,0.562419
0.31,0.142738,0.560691
0.311,0.143575,0.560259
0.312,0.143575,0.558963
0.313,0.14483,0.55594
0.314,0.146505,0.555076
0.315,0.146923,0.554212
0.316,0.147761,0.553348
0.317,0.148598,0.552484
0.318,0.149435,0.552052
0.319,0.149853,0.55162
0.32,0.150691,0.55162
0.321,0.151528,0.551188
0.322,0.151946,0.54946
0.323,0.152784,0.547732
0.324,0.153621,0.5473
0.325,0.154039,0.544708
0.326,0.154877,0.543844
0.327,0.155295,0.543413
0.328,0.156132,0.543413
0.329,0.156551,0.542981
0.33,0.157807,0.541253
0.331,0.158225,0.539525
0.332,0.159481,0.538229
0.333,0.160737,0.536501
0.334,0.161155,0.536069
0.335,0.161574,0.535205
0.336,0.16283,0.532613
0.337,0.163667,0.530886
0.338,0.164085,0.529158
0.339,0.164923,0.527862
0.34,0.165341,0.524838
0.341,0.16576,0.523974
0.342,0.16576,0.52311
0.343,0.166178,0.52311
0.344,0.166597,0.522246
0.345,0.167015,0.521382
0.346,0.167434,0.520086
0.347,0.169108,0.519222
0.348,0.169527,0.51879
0.349,0.169946,0.51879
0.35,0.170783,0.516199
0.351,0.17162,0.514903
0.352,0.172457,0.514039
0.353,0.172457,0.512743
0.354,0.172876,0.512311
0.355,0.172876,0.509719
0.356,0.173713,0.508423
0.357,0.174131,0.507559
0.358,0.17455,0.507559
0.359,0.174969,0.504968
0.36,0.175387,0.503672
0.361,0.175387,0.50324
0.362,0.177062,0.501944
0.363,0.17748,0.501512
0.364,0.178736,0.49892
0.365,0.179992,0.498488
0.366,0.179992,0.498056
0.367,0.181247,0.496328
0.368,0.182503,0.495464
0.369,0.18334,0.495464
0.37,0.183759,0.494168
0.371,0.184596,0.492873
0.372,0.185015,0.492009
0.373,0.185852,0.489849
0.374,0.185852,0.485961
0.375,0.186689,0.485097
0.376,0.188782,0.484665
0.377,0.190456,0.484233
0.378,0.190456,0.482505
0.379,0.190456,0.482073
0.38,0.191293,0.479482
0.381,0.191293,0.478618
0.382,0.191712,0.478618
0.383,0.193805,0.47689
0.384,0.194224,0.475162
0.385,0.194642,0.474298
0.386,0.195898,0.473434
0.387,0.196735,0.471706
0.388,0.197572,0.471274
0.389,0.198828,0.47041
0.39,0.200502,0.47041
0.391,0.201339,0.467819
0.392,0.202595,0.466091
0.393,0.203014,0.464363
0.394,0.20427,0.463499
0.395,0.20427,0.462635
0.396,0.205525,0.461771
0.397,0.206362,0.459611
0.398,0.2072,0.458747
0.399,0.208037,0.457883
0.4,0.208455,0.457019
0.401,0.209711,0.456156
0.402,0.21013,0.454428
0.403,0.210548,0.453564
0.404,0.211386,0.451836
0.405,0.21306,0.45054
0.406,0.214734,0.448812
0.407,0.215571,0.447948
0.408,0.217664,0.44622
0.409,0.219339,0.445356
0.41,0.219757,0.444492
0.411,0.220176,0.443197
0.412,0.221013,0.440173
0.413,0.22185,0.438013
0.414,0.223943,0.437149
0.415,0.223943,0.435853
0.416,0.22478,0.435421
0.417,0.226036,0.434125
0.418,0.226036,0.433693
0.419,0.228548,0.431533
0.42,0.228548,0.429806
0.421,0.23064,0.42851
0.422,0.23064,0.427214
0.423,0.231478,0.425054
0.424,0.231896,0.425054
0.425,0.232733,0.423758
0.426,0.234408,0.422462
0.427,0.235663,0.421598
0.428,0.236501,0.419438
0.429,0.236919,0.417279
0.43,0.238175,0.415551
0.431,0.239431,0.414687
0.432,0.240686,0.413391
0.433,0.241942,0.412095
0.434,0.242779,0.409935
0.435,0.244035,0.408639
0.436,0.244035,0.407775
0.437,0.244872,0.406911
0.438,0.247384,0.406911
0.439,0.249058,0.405184
0.44,0.250314,0.40432
0.441,0.250733,0.403888
0.442,0.252407,0.402592
0.443,0.253244,0.401728
0.444,0.2545,0.400432
0.445,0.255337,0.399136
0.446,0.257848,0.398272
0.447,0.259104,0.397408
0.448,0.259104,0.396976
0.449,0.260779,0.396112
0.45,0.262034,0.394384
0.451,0.26329,0.392657
0.452,0.263709,0.391361
0.453,0.264964,0.389633
0.454,0.265802,0.388769
0.455,0.267895,0.386609
0.456,0.269987,0.384881
0.457,0.271243,0.383585
0.458,0.272918,0.382289
0.459,0.274592,0.380994
0.46,0.276266,0.378834
0.461,0.276685,0.377538
0.462,0.277522,0.37581
0.463,0.279615,0.374946
0.464,0.281289,0.372354
0.465,0.282545,0.370626
0.466,0.283801,0.369762
0.467,0.285475,0.368898
0.468,0.286312,0.366307
0.469,0.286312,0.365875
0.47,0.287149,0.364147
0.471,0.288824,0.364147
0.472,0.290498,0.363715
0.473,0.290917,0.363715
0.474,0.292591,0.361555
0.475,0.293428,0.361123
0.476,0.294684,0.359827
0.477,0.295521,0.358531
0.478,0.29594,0.358099
0.479,0.296358,0.355508
0.48,0.297195,0.354212
0.481,0.300126,0.354212
0.482,0.301381,0.353348
0.483,0.302637,0.352916
0.484,0.303474,0.352484
0.485,0.303893,0.350756
0.486,0.303893,0.34946
0.487,0.303893,0.34946
0.488,0.30473,0.348164
0.489,0.305986,0.3473
0.49,0.306823,0.346436
0.491,0.308079,0.346004
0.492,0.309334,0.343844
0.493,0.311427,0.343844
0.494,0.313939,0.342981
0.495,0.314357,0.342549
0.496,0.31645,0.342549
0.497,0.31645,0.341253
0.498,0.316869,0.341253
0.499,0.318543,0.339957
0.5,0.320218,0.338229
0.501,0.320636,0.337365
0.502,0.321473,0.337365
0.503,0.323148,0.335637
0.504,0.325241,0.335205
0.505,0.325241,0.334773
0.506,0.326496,0.333477
0.507,0.327334,0.332613
0.508,0.328171,0.331317
0.509,0.329427,0.330022
0.51,0.330682,0.328726
0.511,0.332775,0.328294
0.512,0.334868,0.328294
0.513,0.336124,0.326566
0.514,0.336961,0.326134
0.515,0.337798,0.325702
0.516,0.337798,0.324838
0.517,0.338635,0.323974
0.518,0.34031,0.323974
0.519,0.340728,0.322678
0.52,0.341984,0.322678
0.521,0.342821,0.321382
0.522,0.343658,0.32095
0.523,0.343658,0.319222
0.524,0.344077,0.317927
0.525,0.344914,0.317495
0.526,0.345751,0.316631
0.527,0.34617,0.316199
0.528,0.346589,0.315335
0.529,0.347426,0.314903
0.53,0.348263,0.314471
0.531,0.349519,0.314471
0.532,0.349937,0.313175
0.533,0.350774,0.312743
0.534,0.351193,0.312311
0.535,0.352449,0.311879
0.536,0.353704,0.311879
0.537,0.354123,0.310583
0.538,0.355379,0.308423
0.539,0.355379,0.306695
0.54,0.357053,0.306263
0.541,0.357472,0.304968
0.542,0.358309,0.303672
0.543,0.359565,0.302808
0.544,0.359983,0.301944
0.545,0.362495,0.30108
0.546,0.362913,0.30108
0.547,0.364169,0.299784
0.548,0.365425,0.299784
0.549,0.365843,0.298488
0.55,0.366262,0.298488
0.551,0.367936,0.297624
0.552,0.368355,0.297624
0.553,0.370029,0.296328
0.554,0.371285,0.295464
0.555,0.373378,0.294168
0.556,0.374215,0.293737
0.557,0.376308,0.292873
0.558,0.377145,0.292009
0.559,0.377564,0.291577
0.56,0.37882,0.291577
0.561,0.379238,0.290713
0.562,0.380075,0.289849
0.563,0.380913,0.289417
0.564,0.382168,0.287689
0.565,0.383424,0.286825
0.566,0.384261,0.285961
0.567,0.385936,0.284233
0.568,0.386773,0.282073
0.569,0.388028,0.281641
0.57,0.388028,0.280778
0.571,0.388447,0.280346
0.572,0.388866,0.279914
0.573,0.389703,0.27905
0.574,0.390121,0.278186
0.575,0.390959,0.27689
0.576,0.391796,0.276026
0.577,0.393051,0.27473
0.578,0.39347,0.273434
0.579,0.393889,0.272138
0.58,0.395563,0.272138
0.581,0.397237,0.271274
0.582,0.398912,0.27041
0.583,0.39933,0.27041
0.584,0.399749,0.269114
0.585,0.400167,0.268683
0.586,0.401423,0.268251
0.587,0.401423,0.266955
0.588,0.401842,0.266091
0.589,0.40226,0.265659
0.59,0.403098,0.264795
0.591,0.403935,0.263931
0.592,0.405609,0.263931
0.593,0.406028,0.262635
0.594,0.406028,0.262203
0.595,0.407283,0.261771
0.596,0.408539,0.260475
0.597,0.409795,0.259611
0.598,0.410632,0.259611
0.599,0.411888,0.259611
0.6,0.412306,0.259611
0.601,0.412725,0.259179
0.602,0.413562,0.258315
0.603,0.414818,0.257883
0.604,0.415237,0.257019
0.605,0.415655,0.257019
0.606,0.416074,0.255724
0.607,0.417329,0.255724
0.608,0.418167,0.253132
0.609,0.419841,0.252268
0.61,0.420678,0.251836
0.611,0.421515,0.251836
0.612,0.421934,0.250972
0.613,0.422771,0.25054
0.614,0.424445,0.25054
0.615,0.425701,0.25054
0.616,0.42612,0.250108
0.617,0.426538,0.249244
0.618,0.426957,0.247948
0.619,0.42905,0.247516
0.62,0.430306,0.24622
0.621,0.430724,0.244492
0.622,0.43198,0.24406
0.623,0.434073,0.243629
0.624,0.43491,0.243197
0.625,0.435329,0.242765
0.626,0.435329,0.241469
0.627,0.437422,0.239741
0.628,0.43784,0.239741
0.629,0.438677,0.238877
0.63,0.439933,0.238013
0.631,0.44077,0.237581
0.632,0.441607,0.236285
0.633,0.442026,0.235853
0.634,0.442445,0.235421
0.635,0.442445,0.235421
0.636,0.443282,0.234557
0.637,0.443282,0.233693
0.638,0.445793,0.232829
0.639,0.44663,0.231965
0.64,0.448305,0.231102
0.641,0.44956,0.229374
0.642,0.449979,0.228078
0.643,0.450398,0.227646
0.644,0.450398,0.227214
0.645,0.452072,0.22635
0.646,0.454584,0.225486
0.647,0.455421,0.223758
0.648,0.456258,0.222462
0.649,0.456676,0.22203
0.65,0.457514,0.221598
0.651,0.458769,0.221598
0.652,0.459188,0.21987
0.653,0.459188,0.219006
0.654,0.460025,0.218575
0.655,0.460862,0.217711
0.656,0.461281,0.217279
0.657,0.461281,0.216415
0.658,0.462537,0.215983
0.659,0.464211,0.215119
0.66,0.465048,0.214687
0.661,0.466304,0.213391
0.662,0.467978,0.212959
0.663,0.469234,0.212527
0.664,0.47049,0.212095
0.665,0.472164,0.211231
0.666,0.473838,0.211231
0.667,0.474676,0.209503
0.668,0.475094,0.209503
0.669,0.476769,0.208207
