Threshold,FAR,FRR
0.232,0.052323,0.774082
0.233,0.052323,0.77365
0.234,0.052323,0.771922
0.235,0.05316,0.77149
0.236,0.055253,0.770626
0.237,0.055672,0.769762
0.238,0.05609,0.768035
0.239,0.05609,0.766739
0.24,0.05609,0.765011
0.241,0.05609,0.763715
0.242,0.056928,0.760691
0.243,0.056928,0.758531
0.244,0.056928,0.757235
0.245,0.057346,0.756371
0.246,0.057346,0.755508
0.247,0.057346,0.752916
0.248,0.058602,0.752052
0.249,0.058602,0.749892
0.25,0.058602,0.748596
0.251,0.059439,0.746004
0.252,0.059858,0.743413
0.253,0.059858,0.742549
0.254,0.060276,0.741685
0.255,0.060695,0.739957
0.256,0.060695,0.737797
0.257,0.060695,0.736501
0.258,0.061113,0.735637
0.259,0.062369,0.734341
0.26,0.063206,0.732613
0.261,0.063625,0.731317
0.262,0.064044,0.728726
0.263,0.065299,0.726998
0.264,0.065718,0.723974
0.265,0.066136,0.722246
0.266,0.067392,0.717927
0.267,0.067811,0.715767
0.268,0.069067,0.713607
0.269,0.070322,0.711447
0.27,0.070741,0.711015
0.271,0.072415,0.709287
0.272,0.072834,0.707991
0.273,0.073252,0.705832
0.274,0.073252,0.704536
0.275,0.073671,0.702808
0.276,0.075345,0.702376
0.277,0.077857,0.70108
0.278,0.078275,0.699784
0.279,0.078275,0.699352
0.28,0.078694,0.696328
0.281,0.079113,0.695032
0.282,0.079113,0.694168
0.283,0.079531,0.692441
0.284,0.082043,0.691577
0.285,0.083298,0.689849
0.286,0.084136,0.687689
0.287,0.084973,0.686393
0.288,0.08581,0.685961
0.289,0.086647,0.685097
0.29,0.086647,0.682937
0.291,0.087484,0.680778
0.292,0.087484,0.67905
0.293,0.088321,0.676458
0.294,0.089159,0.675162
0.295,0.091252,0.67473
0.296,0.091252,0.673002
0.297,0.092926,0.67041
0.298,0.093763,0.669114
0.299,0.0946,0.667819
0.3,0.0946,0.665227
0.301,0.095437,0.665227
0.302,0.096275,0.663067
0.303,0.096693,0.660907
0.304,0.09753,0.660043
0.305,0.098786,0.658315
0.306,0.099623,0.657019
0.307,0.100879,0.655292
0.308,0.102135,0.65486
0.309,0.102553,0.653564
0.31,0.102972,0.6527
0.311,0.103391,0.652268
0.312,0.104646,0.649676
0.313,0.105902,0.647516
0.314,0.107158,0.646652
0.315,0.107995,0.644492
0.316,0.108832,0.642765
0.317,0.109251,0.641901
0.318,0.110506,0.639741
0.319,0.110925,0.636717
0.32,0.111762,0.634557
0.321,0.113018,0.631965
0.322,0.113018,0.63067
0.323,0.114274,0.629374
0.324,0.11553,0.628078
0.325,0.116785,0.627214
0.326,0.117204,0.625054
0.327,0.118878,0.622894
0.328,0.119715,0.620734
0.329,0.120553,0.61987
0.33,0.120971,0.618143
0.331,0.122645,0.617279
0.332,0.123901,0.615983
0.333,0.125157,0.613823
0.334,0.126413,0.612095
0.335,0.126413,0.612095
0.336,0.126831,0.610367
0.337,0.127668,0.609935
0.338,0.128087,0.609935
0.339,0.129343,0.608639
0.34,0.129761,0.606911
0.341,0.130599,0.605184
0.342,0.131017,0.603024
0.343,0.132273,0.601728
0.344,0.133529,0.600864
0.345,0.134784,0.599136
0.346,0.137296,0.596544
0.347,0.13897,0.592657
0.348,0.139807,0.590929
0.349,0.140645,0.589201
0.35,0.141063,0.587473
0.351,0.141482,0.586177
0.352,0.142738,0.585313
0.353,0.143156,0.582721
0.354,0.143156,0.581425
0.355,0.143575,0.580562
0.356,0.145668,0.579698
0.357,0.146505,0.57797
0.358,0.147342,0.576242
0.359,0.148598,0.574082
0.36,0.149853,0.574082
0.361,0.151528,0.57365
0.362,0.152365,0.572354
0.363,0.152365,0.570626
0.364,0.153202,0.569762
0.365,0.155295,0.568035
0.366,0.155295,0.566307
0.367,0.156551,0.565875
0.368,0.159062,0.564579
0.369,0.160318,0.562851
0.37,0.161155,0.560691
0.371,0.161574,0.557235
0.372,0.163248,0.555508
0.373,0.164504,0.55378
0.374,0.16576,0.55162
0.375,0.166597,0.550324
0.376,0.167853,0.548596
0.377,0.168271,0.546436
0.378,0.169946,0.545572
0.379,0.170783,0.542117
0.38,0.172876,0.541685
0.381,0.173713,0.540389
0.382,0.174969,0.539957
0.383,0.175387,0.537797
0.384,0.176643,0.536501
0.385,0.177899,0.535205
0.386,0.178317,0.534341
0.387,0.178736,0.533909
0.388,0.18041,0.533045
0.389,0.182085,0.530022
0.39,0.182922,0.528726
0.391,0.183759,0.526566
0.392,0.185852,0.525702
0.393,0.187108,0.524406
0.394,0.188782,0.523542
0.395,0.189619,0.522246
0.396,0.190456,0.52095
0.397,0.192968,0.520086
0.398,0.195061,0.517063
0.399,0.196316,0.514903
0.4,0.197154,0.514039
0.401,0.197572,0.512311
0.402,0.198409,0.511015
0.403,0.198828,0.509719
0.404,0.200502,0.508855
0.405,0.200921,0.507559
0.406,0.203432,0.5054
0.407,0.204688,0.503672
0.408,0.206781,0.500648
0.409,0.207618,0.499352
0.41,0.208874,0.49892
0.411,0.208874,0.49676
0.412,0.209711,0.495032
0.413,0.211804,0.493305
0.414,0.214316,0.491577
0.415,0.214316,0.490281
0.416,0.216409,0.487689
0.417,0.218083,0.485961
0.418,0.219757,0.484665
0.419,0.220594,0.483369
0.42,0.221432,0.482073
0.421,0.22185,0.48121
0.422,0.223106,0.479914
0.423,0.22478,0.478618
0.424,0.226036,0.476458
0.425,0.227292,0.47473
0.426,0.228966,0.47473
0.427,0.23064,0.473434
0.428,0.232733,0.473002
0.429,0.233989,0.470842
0.43,0.234408,0.469114
0.431,0.236919,0.468251
0.432,0.238594,0.466523
0.433,0.239849,0.463931
0.434,0.240686,0.462203
0.435,0.243617,0.458315
0.436,0.245291,0.456156
0.437,0.246965,0.453996
0.438,0.250314,0.451404
0.439,0.251988,0.451404
0.44,0.254081,0.449676
0.441,0.256174,0.447084
0.442,0.257848,0.445356
