detector_name,dataset,threshold,far,frr,avg_latency_ms,n_samples
SBI,FF++,0.1,0.3857,0.0214,1035.1,280
SBI,FF++,0.2,0.2071,0.05,1035.1,280
SBI,FF++,0.3,0.1357,0.0714,1035.1,280
SBI,FF++,0.4,0.0714,0.0857,1035.1,280
SBI,FF++,0.5,0.0429,0.1357,1035.1,280
SBI,FF++,0.6,0.0286,0.2,1035.1,280
SBI,FF++,0.7,0.0214,0.2357,1035.1,280
SBI,FF++,0.8,0.0071,0.2714,1035.1,280
SBI,FF++,0.9,0.0,0.35,1035.1,280
