Threshold,FAR,FRR
0.228,0.400488,0.226738
0.229,0.401185,0.226358
0.23,0.402579,0.225218
0.231,0.402928,0.223699
0.232,0.403276,0.2218
0.233,0.403276,0.219901
0.234,0.404671,0.217622
0.235,0.406065,0.216863
0.236,0.407459,0.214584
0.237,0.40955,0.213825
0.238,0.409899,0.213445
0.239,0.410247,0.212305
0.24,0.410596,0.211166
0.241,0.411293,0.209647
0.242,0.412687,0.208887
0.243,0.413384,0.208507
0.244,0.415127,0.206229
0.245,0.415127,0.205089
0.246,0.417219,0.204709
0.247,0.418961,0.20433
0.248,0.419658,0.20395
0.249,0.420356,0.20357
0.25,0.421401,0.20281
0.251,0.423144,0.20281
0.252,0.423841,0.200912
0.253,0.424538,0.200532
0.254,0.425584,0.200532
0.255,0.427327,0.199772
0.256,0.428024,0.199392
0.257,0.429766,0.199013
0.258,0.430812,0.196734
0.259,0.431858,0.196354
0.26,0.432206,0.195215
0.261,0.432903,0.194455
0.262,0.434298,0.193316
0.263,0.434646,0.192556
0.264,0.435343,0.192176
0.265,0.436389,0.190277
0.266,0.437783,0.189897
0.267,0.43848,0.189518
0.268,0.438829,0.188758
0.269,0.439526,0.188758
0.27,0.440572,0.1861
0.271,0.441617,0.18534
0.272,0.44336,0.18458
0.273,0.444754,0.183061
0.274,0.4458,0.182302
0.275,0.446497,0.181922
0.276,0.446846,0.181542
0.277,0.447194,0.181162
0.278,0.449285,0.180403
0.279,0.45068,0.179643
0.28,0.451725,0.179263
0.281,0.452422,0.178504
0.282,0.452771,0.178504
0.283,0.453817,0.178124
0.284,0.455559,0.177364
0.285,0.455908,0.177364
0.286,0.457651,0.176605
0.287,0.458696,0.175465
0.288,0.459742,0.174706
0.289,0.460788,0.173566
0.29,0.461833,0.172427
0.291,0.46253,0.171667
0.292,0.463925,0.171288
0.293,0.465319,0.170908
0.294,0.466713,0.169768
0.295,0.46741,0.169768
0.296,0.46741,0.169768
0.297,0.468107,0.169768
0.298,0.468456,0.169389
0.299,0.46985,0.168249
0.3,0.470199,0.167869
0.301,0.471244,0.16711
0.302,0.471941,0.16635
0.303,0.472639,0.16597
0.304,0.472639,0.165211
0.305,0.474033,0.164451
0.306,0.47473,0.164071
0.307,0.47473,0.162552
0.308,0.475776,0.160273
0.309,0.476473,0.158754
0.31,0.478215,0.157995
0.311,0.478913,0.157235
0.312,0.480307,0.156855
0.313,0.481004,0.156096
0.314,0.481701,0.155716
0.315,0.482398,0.155336
0.316,0.482747,0.154577
0.317,0.482747,0.154577
0.318,0.483444,0.154577
0.319,0.485186,0.154197
0.32,0.485535,0.153437
0.321,0.485884,0.153437
0.322,0.486581,0.152298
0.323,0.487278,0.151538
0.324,0.487975,0.150399
0.325,0.489021,0.150019
0.326,0.489369,0.14888
0.327,0.489718,0.1485
0.328,0.490415,0.1485
0.329,0.491112,0.14736
0.33,0.492506,0.146981
0.331,0.493203,0.145841
0.332,0.494249,0.144702
0.333,0.494597,0.143183
0.334,0.496689,0.142423
0.335,0.496689,0.142423
0.336,0.497037,0.141284
0.337,0.497734,0.140524
0.338,0.498432,0.139005
0.339,0.499477,0.139005
0.34,0.500174,0.137486
0.341,0.500871,0.135587
0.342,0.502266,0.134447
0.343,0.503311,0.134447
0.344,0.504008,0.133688
0.345,0.504357,0.132169
0.346,0.505054,0.132169
0.347,0.505403,0.132169
0.348,0.5061,0.131789
0.349,0.507145,0.131789
0.35,0.508191,0.131789
0.351,0.509585,0.131409
0.352,0.510631,0.130649
0.353,0.512025,0.12989
0.354,0.512374,0.12913
0.355,0.512374,0.12913
0.356,0.513419,0.12875
0.357,0.514465,0.127231
0.358,0.514465,0.126092
0.359,0.515859,0.125712
0.36,0.517253,0.125332
0.361,0.517602,0.124953
0.362,0.517951,0.124953
0.363,0.52039,0.123813
0.364,0.52039,0.123433
0.365,0.521436,0.123433
0.366,0.522133,0.122674
0.367,0.523179,0.121914
0.368,0.523876,0.121534
0.369,0.524224,0.121534
0.37,0.52527,0.121155
0.371,0.525967,0.120775
0.372,0.527013,0.120775
0.373,0.52771,0.120775
0.374,0.528407,0.120395
0.375,0.530498,0.119635
0.376,0.531544,0.118496
0.377,0.532241,0.118116
0.378,0.532241,0.117357
0.379,0.532938,0.116597
0.38,0.533287,0.116597
0.381,0.534681,0.116217
0.382,0.53503,0.115837
0.383,0.535378,0.115078
0.384,0.536075,0.114318
0.385,0.537121,0.114318
0.386,0.537121,0.114318
0.387,0.53747,0.114318
0.388,0.539909,0.113179
0.389,0.540258,0.113179
0.39,0.540955,0.112799
0.391,0.541652,0.112419
0.392,0.542349,0.11166
0.393,0.542349,0.11052
0.394,0.543743,0.109761
0.395,0.544789,0.109381
0.396,0.546183,0.108242
0.397,0.54688,0.107102
0.398,0.547926,0.106722
0.399,0.550017,0.106722
0.4,0.551412,0.106343
0.401,0.552109,0.105583
0.402,0.552457,0.105203
